,title,price,year,link,type,color,age
102,collector wtb schwinn stingrays paying cash $$$,0,,https://norfolk.craigslist.org/bik/d/hampton-collector-wtb-schwinn-stingrays/7820856932.html,missing,missing,
103,ladies kulana hiku beach cruiser,169,,https://norfolk.craigslist.org/bik/d/norfolk-ladies-kulana-hiku-beach-cruiser/7819824269.html,beach,missing,
104,bike,100,,https://delaware.craigslist.org/bik/d/frederica-bike/7824194593.html,missing,missing,
105,700c hybrid fugi bike,100,,https://washingtondc.craigslist.org/nva/bik/d/alexandria-700c-hybrid-fugi-bike/7820226818.html,missing,missing,
106,26” trek bike,90,,https://washingtondc.craigslist.org/nva/bik/d/alexandria-26-trek-bike/7816755298.html,missing,missing,
107,26” full suspension schwinn,100,,https://washingtondc.craigslist.org/nva/bik/d/alexandria-26-full-suspension-schwinn/7816755056.html,missing,missing,
108,"1987 trek 400 elance - large 24-1/2"" (62cm) reynolds 531 steel frame",399,1987.0,https://washingtondc.craigslist.org/nva/bik/d/herndon-1987-trek-400-elance-large-cm/7824182699.html,missing,missing,38.0
109,bike,50,,https://delaware.craigslist.org/bik/d/frederica-bike/7824192188.html,missing,missing,
110,mongoose xr75,100,,https://norfolk.craigslist.org/bik/d/virginia-beach-mongoose-xr75/7817709180.html,missing,missing,
111,electric scooter for adult,169,,https://raleigh.craigslist.org/bik/d/durham-electric-scooter-for-adult/7824185450.html,electric,missing,
112,"26"" 15-speed adult bike with comfortable seat",80,,https://washingtondc.craigslist.org/mld/bik/d/frederick-speed-adult-bike-with/7824183021.html,missing,missing,
113,reduced 2 - 1996 serotta atlanta road bike 58cm full campagnolo chorus,899,1996.0,https://washingtondc.craigslist.org/nva/bik/d/herndon-reduced-serotta-atlanta-road/7824182390.html,road,missing,29.0
114,"indoor bike trainer - ascent fluid, never used",40,,https://delaware.craigslist.org/bik/d/milford-indoor-bike-trainer-ascent/7822399313.html,missing,missing,
115,vintage 1988 gt freestyle bmx,900,1988.0,https://washingtondc.craigslist.org/nva/bik/d/manassas-vintage-1988-gt-freestyle-bmx/7820157461.html,bmx,missing,37.0
116,diamondback podium 2 road bike size 54cm,250,,https://washingtondc.craigslist.org/nva/bik/d/chantilly-diamondback-podium-road-bike/7821393046.html,road,missing,
117,mokwheel electric mountain bike,900,,https://winstonsalem.craigslist.org/bik/d/elkin-mokwheel-electric-mountain-bike/7818170652.html,electric,missing,
118,schwinn twinn classic tandem adult bike,700,,https://richmond.craigslist.org/bik/d/midlothian-schwinn-twinn-classic-tandem/7823351142.html,missing,missing,
119,allen pet trailer connect to bike or pull like a wagon,75,,https://norfolk.craigslist.org/bik/d/portsmouth-allen-pet-trailer-connect-to/7819446573.html,missing,missing,
120,"26"" aluminum next lajolla street cruiser bicycle",75,,https://baltimore.craigslist.org/bik/d/baltimore-26-aluminum-next-lajolla/7823087178.html,missing,missing,
121,mongoose mode 180 bmx freestyle bike $250 new i’m asking,65,,https://york.craigslist.org/bik/d/york-mongoose-mode-180-bmx-freestyle/7818722380.html,bmx,missing,
122,"pacific 21 speed bicycle, 24 inch bike new $210 i’m asking",100,,https://york.craigslist.org/bik/d/york-pacific-21-speed-bicycle-24-inch/7821443228.html,missing,missing,
123,14” women’s rei novara pika 24 spd mtb,175,,https://washingtondc.craigslist.org/nva/bik/d/alexandria-14-womens-rei-novara-pika-24/7820746337.html,missing,missing,
124,"trek fx - 51cm (20"") frame - 700x35c - 24 speed - almost new",350,,https://washingtondc.craigslist.org/nva/bik/d/fairfax-station-trek-fx-51cm-20-frame/7824159007.html,missing,missing,
125,"roadmaster granite peak bicycle, 26 inch mountain bike",85,,https://york.craigslist.org/bik/d/york-roadmaster-granite-peak-bicycle-26/7823578089.html,mountain,missing,
126,"pre-war 1940s red klinedinst balloon tire bicycle, skip tooth bike",325,1940.0,https://york.craigslist.org/bik/d/york-pre-war-1940s-red-klinedinst/7823577810.html,missing,red,85.0
127,"kids bicycle, 12 inch bike",45,,https://york.craigslist.org/bik/d/york-kids-bicycle-12-inch-bike/7822411456.html,missing,missing,
128,"quest predator mountain bike, 26 inch bicycle new was $280 i’m asking",45,,https://york.craigslist.org/bik/d/york-quest-predator-mountain-bike-26/7819769459.html,mountain,missing,
129,"disney princess girls bike, 12 inch bicycle",35,,https://york.craigslist.org/bik/d/york-disney-princess-girls-bike-12-inch/7821666376.html,missing,missing,
130,xtreme ride mt7 folding bike,125,,https://richmond.craigslist.org/bik/d/richmond-xtreme-ride-mt7-folding-bike/7822740297.html,missing,missing,
